38,0,204.0,185.0,3,138.0,2,299.0,87.0,14090929,4,6,1,0,1,1,1,0,1,1,1,1,0,9,78,0,1
55,4,161.0,150.0,2,117.0,2,203.0,87.0,10029868,1,3,0,0,3,0,0,1,0,3,0,4,1,44,35,0,1
66,0,459.0,185.0,3,226.0,1,299.0,87.0,11476547,1,1,1,0,1,1,1,0,1,1,1,1,1,14,11,0,1
91,4,298.0,150.0,3,226.0,2,441.0,87.0,12266055,2,3,0,0,2,0,0,2,0,2,1,9,2,13,66,0,1
100,4,480.0,150.0,2,219.0,1,485.0,87.0,6459266,77,70,0,104,59,0,0,54,0,50,0,442,73,228,27,0,1
102,1,399.0,150.0,0,185.0,1,325.0,87.0,1358205,1,1,0,0,1,0,1,0,1,1,0,1,1,25,72,0,1
109,2,174.0,150.0,3,226.0,2,204.0,87.0,4491118,5,5,2,0,1,0,2,0,2,2,0,0,0,102,3,0,1
112,2,277.0,144.0,3,137.0,1,356.0,96.0,10496243,10,17,8,0,10,0,7,0,5,13,0,1,1,25,72,0,1
174,0,177.0,185.0,2,137.0,1,299.0,87.0,3715091,1,1,1,0,1,1,1,0,1,1,1,0,0,12,68,0,1
243,0,545.0,185.0,3,138.0,2,299.0,87.0,6055282,28,48,9,0,9,9,16,0,10,12,12,4,4,13,77,0,1
249,0,204.0,185.0,3,226.0,1,299.0,87.0,8123076,3,5,3,0,3,3,1,0,2,4,4,0,0,11,49,0,1
272,0,583.0,150.0,3,226.0,1,299.0,87.0,15189056,5,6,1,0,1,1,3,0,4,2,2,1,1,49,25,0,1
422,0,500.0,185.0,2,137.0,1,299.0,87.0,4052929,1,1,1,0,1,1,1,0,1,1,1,0,0,76,77,0,1
436,0,545.0,185.0,3,138.0,2,299.0,87.0,4725018,6,40,19,0,19,19,13,0,10,15,15,2,2,0,77,0,1
442,4,514.0,150.0,2,224.0,1,512.0,87.0,15373213,4,2,0,0,3,0,0,6,0,4,1,14,4,87,4,0,1
502,0,130.0,185.0,3,137.0,1,299.0,87.0,7272450,42,98,10,0,10,10,13,0,28,27,27,4,3,13,9,0,1
589,3,321.0,150.0,3,226.0,2,330.0,87.0,5427379,13,5,6,0,0,0,9,0,47,4,0,41,8,11,43,0,1
653,4,225.0,150.0,2,166.0,2,123.0,87.0,3621155,2,1,0,0,3,0,0,3,0,1,0,32,2,19,43,0,1
674,4,327.0,150.0,1,102.0,1,269.0,87.0,15341876,1,1,0,0,1,0,0,1,0,1,0,1,1,489,8,0,1
675,4,321.0,150.0,3,226.0,2,264.0,87.0,739373,2,1,0,0,0,0,0,2,0,1,0,6,1,25,61,0,1
709,4,111.0,150.0,3,162.0,1,126.0,87.0,8625755,1,1,0,0,1,0,0,1,0,1,1,7,1,59,25,0,1
716,4,490.0,150.0,3,226.0,2,204.0,87.0,1360235,1,3,0,0,1,0,0,1,0,1,0,8,1,58,34,0,1
757,0,375.0,185.0,2,224.0,2,299.0,87.0,9220802,5,5,1,0,1,1,1,0,1,1,1,0,0,8,66,0,1
759,4,332.0,150.0,3,226.0,2,205.0,87.0,5415489,1,1,0,0,1,0,0,1,0,1,0,1,1,32,73,0,1
794,1,327.0,150.0,1,226.0,1,325.0,87.0,9140060,2,1,2,0,1,0,2,0,2,1,0,1,1,46,26,0,1
800,4,111.0,150.0,3,226.0,2,299.0,87.0,5578820,128,126,0,103,61,0,0,55,0,106,0,496,68,54,16,0,1
820,2,583.0,150.0,3,226.0,1,308.0,87.0,5000833,6,6,1,0,6,0,2,0,2,6,0,0,0,102,25,0,1
839,4,321.0,150.0,3,226.0,2,177.0,87.0,3774459,2,2,0,1,2,0,0,1,0,1,0,2,2,55,33,0,1
841,0,296.0,185.0,3,138.0,2,299.0,87.0,5981605,1,1,1,0,1,1,1,0,1,1,1,0,0,7,44,0,1
843,4,321.0,150.0,3,226.0,2,299.0,87.0,7832480,2,5,0,0,3,0,0,4,0,2,0,5,2,315,72,0,1
864,0,296.0,185.0,3,137.0,1,299.0,87.0,1895367,3,3,1,0,1,1,1,0,1,2,2,0,0,15,9,0,1
902,4,174.0,150.0,3,226.0,2,123.0,87.0,5020167,5,1,0,0,6,0,0,2,0,1,0,4,4,17,84,0,1
996,4,490.0,150.0,3,226.0,2,315.0,87.0,13785749,1,1,0,0,1,0,0,1,0,1,0,1,1,49,19,0,1
997,4,514.0,150.0,2,224.0,2,325.0,87.0,3118881,1,2,0,0,2,0,0,2,0,1,0,3,1,19,1,0,1
1106,4,170.0,150.0,2,102.0,1,299.0,87.0,10463121,1,1,0,0,1,0,0,1,0,1,0,1,1,55,72,0,1
1123,1,327.0,150.0,1,224.0,1,170.0,87.0,9886580,1,1,1,0,1,0,1,0,1,1,0,0,0,76,27,0,1
1181,4,555.0,150.0,3,226.0,2,191.0,87.0,1203398,2,1,0,0,0,0,0,1,0,1,0,11,2,87,11,0,1
1239,0,562.0,150.0,2,102.0,1,299.0,87.0,9361609,1,2,1,0,1,1,1,0,1,1,1,1,1,67,43,0,1
1248,4,583.0,150.0,3,226.0,1,204.0,87.0,14334142,1,1,0,0,1,0,0,1,0,1,0,2,1,499,25,0,1
1284,0,375.0,185.0,2,224.0,2,299.0,87.0,14495975,101,136,55,0,55,55,73,0,55,80,80,27,21,8,66,0,1
1292,4,111.0,150.0,3,226.0,2,441.0,87.0,11640863,3,6,0,0,6,0,0,6,0,4,3,8,3,25,32,0,1
1382,4,111.0,150.0,3,226.0,2,476.0,87.0,529830,1,1,0,0,1,0,0,1,0,1,0,3,1,10,82,0,1
1410,0,545.0,185.0,3,195.0,1,299.0,87.0,14344734,4,4,1,0,1,1,2,0,2,3,3,3,3,4,67,0,1
1415,4,174.0,150.0,3,226.0,2,126.0,87.0,175908,2,3,0,1,5,0,0,3,0,3,0,26,2,40,15,0,1
1469,4,170.0,150.0,2,102.0,1,269.0,87.0,12512219,1,2,0,0,2,0,0,2,0,2,0,0,0,37,72,0,1
1562,0,408.0,185.0,2,224.0,2,299.0,87.0,9497626,1,1,1,0,1,1,1,0,1,1,1,0,0,36,24,0,1
1579,4,532.0,150.0,2,226.0,2,251.0,87.0,3100158,1,1,0,0,0,0,0,2,0,2,0,2,1,25,69,0,1
1610,0,555.0,185.0,3,226.0,2,299.0,87.0,15006222,2,2,1,0,1,1,1,0,1,1,1,0,0,72,23,0,1
1622,2,327.0,150.0,1,102.0,1,337.0,87.0,14050333,1,1,2,0,2,0,3,0,2,1,0,0,0,12,8,0,1
1658,0,545.0,185.0,3,226.0,1,299.0,87.0,4865951,2,3,1,0,1,1,1,0,1,1,1,1,1,9,6,0,1
1682,4,404.0,150.0,2,102.0,1,315.0,87.0,337122,2,2,0,0,2,0,0,3,0,1,0,2,1,87,16,0,1
1693,4,225.0,150.0,2,117.0,2,181.0,87.0,5761317,3,3,0,0,1,0,0,1,0,1,0,43,3,35,25,0,1
1766,4,553.0,150.0,3,226.0,1,441.0,87.0,1664743,1,1,0,0,2,0,0,2,0,1,0,2,1,47,34,0,1
1768,4,548.0,150.0,3,226.0,2,476.0,87.0,4220404,2,2,0,0,3,0,0,1,0,2,0,1,1,59,70,0,1
1794,4,111.0,150.0,2,219.0,1,126.0,87.0,7824439,1,1,0,0,3,0,0,0,0,1,1,3,1,510,14,0,1
1814,0,142.0,185.0,3,138.0,2,299.0,87.0,10085077,12,6,1,0,1,1,8,0,2,3,3,2,2,15,46,0,1
1927,0,142.0,185.0,3,138.0,2,299.0,87.0,9994407,36,31,5,0,5,5,14,0,8,26,26,4,2,2,46,0,1
1987,4,490.0,150.0,3,226.0,2,126.0,87.0,2417195,8,10,0,1,3,0,0,3,0,5,0,51,7,34,60,0,1
2001,0,204.0,185.0,3,138.0,2,299.0,87.0,13300641,39,62,5,0,5,5,15,0,11,5,5,2,2,7,78,0,1
2009,0,130.0,185.0,3,138.0,2,299.0,87.0,12638113,9,11,3,0,3,3,3,0,3,4,4,1,1,36,44,0,1
2041,0,490.0,150.0,3,226.0,1,299.0,87.0,1017913,4,35,18,0,18,18,11,0,8,13,13,0,0,38,60,0,1
2088,0,545.0,185.0,3,226.0,1,299.0,87.0,14678557,4,4,1,0,1,1,2,0,1,1,1,0,0,27,12,0,1
2116,4,494.0,150.0,3,226.0,1,225.0,87.0,3251251,1,2,0,0,2,0,0,1,0,1,0,2,1,47,35,0,1
2153,1,111.0,150.0,3,226.0,2,204.0,87.0,669940,3,3,1,0,1,0,1,0,1,1,0,0,0,153,46,0,1
2164,4,553.0,150.0,3,226.0,2,512.0,87.0,6584821,1,4,0,0,6,0,0,1,0,2,1,0,0,25,22,0,1
